Título,Material,Cód. título,Números de chamada local,Objeto Digital
Mensagem apresentada ao congresso contituinte do Parahyba pelo governador do estado Venâncio Neiva,Periódico,101615,,per873535
Mensagem Dirigida,Periódico,101605,,per873080
"Mensagem do Exm. Sr. Gregorio Thaumaturgo de Azevedo, presidente do estado, lida perante o congresso amazonense na sessão de 15 de setembro de 1891",Periódico,101602,,per872784
Mensagem do governador de Sergipe,Periódico,101607,,per873632
Mensagem do Governador do Estado,Periódico,101585,,per873136
Mensagem do Governador Dr. Pedro Velho de Alburqueque Maranhão e Relatório apresentados pelos chefes das repartições públicas estadoaes do Rio Grande do Norte,Periódico,101619,,per873330
Mensagem e Relatórios apresentados a Assembléa Geral Legislativa pelo Chefe de divisão reformado Joaquim Leal Ferreira,Periódico,101617,,per872989
Mensagem enviada á assemblea dos representantes do estado do Rio Grande do Sul,Periódico,101620,,per873780
Mensagem lida perante a assembléa constituinte do Estado do Rio de Janeiro,Periódico,101583,,per873284
Mensagens lidas na abertura do congresso constituinte,Periódico,101610,,per873438
Mequetrefe,Periódico,95664,PR-SOR 04105,per778567
Meteoro,Periódico,95893,PR-SOR 03213,per758868
Mirim,Periódico,101362,,per177636
Miscellanea Litteraria,Periódico,101557,,per897116
Miscellanea poetica,Periódico,101551,"P27,03,23",per897167
Movimento,Periódico,97015,PR-SPR 02746,per318744
Mulherio,Periódico,97921,,per459488
Municipio,Periódico,95666,"P18B,03,83",per778532
Municipio de S. Anna,Periódico,96763,PR-SOR 04118 [1],per245933
"Museo Pittoresco Historico e Litterario, ou Livro Recreativo das Familias",Periódico,101538,,per897213
Na Estacada,Periódico,101536,,per410705
Nação Brasileira,Periódico,101513,,per058394
Nação Brasileira,Periódico,101514,,per120251
Nação Brasileira,Periódico,101534,,per881937
Nihilista,Periódico,97298,"P11B,02,28",per714470
Nosso Mundo,Periódico,101512,,per882500
Notas a Margem,Periódico,96511,PR-SOR 05805,per737330
Noticiador,Periódico,97652,PR-SOR 04243,per704725
Nova Alvorada,Periódico,101511,"P26,03,51-52",per897264
Novo Brazil,Periódico,96351,PR-SOR 03348,per738808
O Academico,Periódico,99219,,per166898
O Academico do Sul,Periódico,97395,PR-SOR 04126,per712582
O Acre,Periódico,95861,PR-SPR 00690[1-9],per764752
O Aeronave,Periódico,100256,,per884812
O Agricultor,Periódico,100281,,per884820
O Agricultor Progressista,Periódico,96648,PR-SOR 04004 [1],per238201
O Aguia,Periódico,100320,,per884839
O Alamire,Periódico,96157,PR-SOR 04158,per743480
O Albor,Periódico,100338,,per884847
O Alfinete,Periódico,96053,PR-SOR 04027 [1],per231711
O Alfinete,Periódico,100339,,per884855
O Alliado,Periódico,100366,,per884863
O Almanak,Periódico,96660,PR-SOR 04089,per736317
O Alpha,Periódico,96155,PR-SOR 04152,per743500
O Alpha,Periódico,101447,,per884871
O Alphabeto,Periódico,101455,,per884880
O Amador,Periódico,95856,PR-SOR 03906 [1],per764841
O Amador,Periódico,96089,PR-SOR 02777,per233030
O Americano,Periódico,96104,PR-SOR 04121,per746711
O Americano,Periódico,97416,PR-SOR 02862,per711250
O Amigo do Escravo,Periódico,95894,PR-SOR 03210,per758850
O Amigo do Povo,Periódico,96851,PR-SOR 04068,per733474
O Amigo do Povo,Periódico,97267,PR-SOR 04253,per715794
O Anno Novo,Periódico,101658,,per884898
O Antonio Maria,Periódico,101501,,per897361
O Anzol,Periódico,101660,,per884901
O Apostolo,Periódico,101469,,per767808
O Apreciavel,Periódico,97653,PR-SOR 00214,per704350
O Aprendiz,Periódico,101664,,per884928
O Arara,Periódico,101665,,per884936
O Arauto,Periódico,101667,,per884944
O Arauto,Periódico,101674,,per884960
O Areense,Periódico,96107,PR-SOR 04136,per744247
O Argonauta,Periódico,96298,PR-SOR 03542 [1],per234907
O Argos Cearense,Periódico,95679,PR-SOR 04079,per778419
O Arquidiocesano,Periódico,101467,,per849421
O Arrebol,Periódico,96184,PR-SOR 04122,per741957
O Artista Brasileiro,Periódico,101465,,per766224
O Assombro,Periódico,101464,,per882518
O Atheneu,Periódico,101448,,per897418
O Atlante,Periódico,97914,PR-SOR 00538,per702161
O Atual,Periódico,101446,,per881945
O Aço,Periódico,100228,,per884804
O Bandeirante,Periódico,101397,,per882526
O Bandolim,Periódico,101399,,per736635
O Barco dos Traficantes,Periódico,96171,PR-SOR 03220-03231,per233722
O Barreirense,Periódico,96144,PR-SOR 04139,per74631
O Barreirense,Periódico,101116,,per743631
O Batel,Periódico,96237,PR-SOR 04322,per739456
O Baturite,Periódico,95667,PR-SOR 04100,per778524
O Beija-Flor,Periódico,95706,"P36,06,112",per778338
O Beija-Flor,Periódico,97430,PR-SOR 03643,per359300
O Beija-Flor,Periódico,101115,,per897469
O Beijo,Periódico,101114,,per219908
O Bem da Ordem,Periódico,97961,PR-SOR 00268,per700185
O Bem-te-vi,Periódico,96646,PR-SOR 03522,per736953
O Bicho,Periódico,95898,PR-SOR 03184,per758795
O Bico de Gaz,Periódico,100987,"P02B,04,04",per897515
O Binóculo,Periódico,97643,PR-SOR 03146,per705080
O Bisturi,Periódico,95684,PR-SOR 04031,per778354
O Bodoque Magico,Periódico,97008,PR-SOR 02367,per719439
O Bogary,Periódico,96623,PR-SOR 06547,per736988
O Bohemio,Periódico,97536,PR-SOR 05660,per366021
O Bond,Periódico,95798,PR-SOR 04336,per770159
O Bond,Periódico,96057,PR-SOR 04026 [1],per232025
O Brado da Patria,Periódico,96150,PR-SOR 04128,per743585
O Brado do Amazonas,Periódico,97009,PR-SOR 02741,per719277
O Brado Maranhense,Periódico,97492,PR-SOR 02012,per710474
O Brado Natalence,Periódico,96185,"P17,02,198",per741833
O Brasil,Periódico,97989,PR-SOR 00273,per700380
O Brasileiro,Periódico,97843,PR-SOR 00426,per702587
O Brasileiro Imparcial,Periódico,97883,PR-SOR 00310,per702455
O Brazil,Periódico,95709,PR-SOR 04334,per777994
O Brazil,Periódico,97606,PR-SOR 02795,per705543
O Brazil,Periódico,100860,,per882534
O Brazil Elegante,Periódico,96226,PR-SOR 02333,per739987
O Break,Periódico,96097,PR-SOR 04150,per747050
O Bugre,Periódico,96182,PR-SOR 04155,per742112
O Burro Magro,Periódico,98023,PR-SOR 00570,per701386
